"id","title","date","time","minutes","priority","status"
"demo-1","Купить продукты","2026-10-05","10:00","30","high","todo"
"demo-2","Разобрать полку","2026-10-05","14:00","20","normal","todo"
"demo-3","Собрать сумку для кружка","2026-10-05","16:30","10","normal","done"
"demo-4","Прочитать урок","2026-10-06","11:00","25","high","todo"
"demo-5","Заказать корм","2026-10-06","12:00","10","normal","todo"
"demo-6","Погулять в парке","2026-10-07","17:00","40","normal","todo"
"demo-7","Разобрать фотографии","2026-10-08","13:00","20","low","todo"
"demo-8","Проверить семейный календарь","2026-10-09","09:30","15","high","todo"
"demo-9","Полить растения","2026-10-10","10:00","10","normal","todo"
"demo-10","Подвести итоги недели","2026-10-11","19:00","15","normal","todo"
